;;N̼cleos Canarias;
;Tipo Sector;Canarias Aproximacion;Canarias Ruta
GCCCAAC;APP;X;
GCCCACW;APP;X;
GCCCD26;APP;X;
GCCCF03;APP;X;
GCCCF21;APP;X;
GCCCFCN;APP;X;
GCCCFCW;APP;X;
GCCCGCN;APP;X;
GCCCGCS;APP;X;
GCCCIGC;APP;X;
GCCCINB;APP;X;
GCCCTM3;APP;X;
GCCCTW2;APP;X;
GCCCCES;Ruta;X;X
GCCCCWS;Ruta;X;X
GCCCNWW;Ruta;X;X
GCCCOCE;Ruta;X;X
GCCCR2E;Ruta;X;X
GCCCRC2;Ruta;X;X
GCCCRCE;Ruta;X;X
GCCCRCS;Ruta;X;X
GCCCRCW;Ruta;X;X
GCCCRE2;Ruta;X;X
GCCCRES;Ruta;X;X
GCCCRNE;Ruta;X;X
GCCCRU6;Ruta;X;X
GCCCRW3;Ruta;X;X
GCCCRW4;Ruta;X;X
GCCCRWS;Ruta;X;X
GCCCT13;Ruta;X;X
GCCCUW4;Ruta;X;X
